L1/m,L2/m,L3/m,L4/m,energy
27,45,9,9,2226
27,45,9,9,2225
27,45,9,9,2226
27,54,9,18,2550
27,54,9,18,2546
27,54,9,18,2549
27,54,9,27,2407
27,54,9,27,2402
27,54,9,27,2406
27,54,9,36,2263
27,54,9,36,2258
27,54,9,36,2264
27,63,9,45,2589
27,63,9,45,2583
27,63,9,45,2588
27,63,9,54,2444
27,63,9,54,2437
27,63,9,54,2445
36,36,9,9,2369
36,36,9,9,2375
36,36,9,9,2375
36,36,9,18,2226
36,36,9,18,2229
36,36,9,18,2232
36,36,18,9,2221
36,36,18,9,2224
36,36,18,9,2227
36,45,9,36,2558
36,45,9,36,2560
36,45,9,36,2564
36,45,18,18,2547
36,45,18,18,2547
36,45,18,18,2550
36,45,18,27,2255
36,45,18,27,2255
36,45,18,27,2255
36,54,18,36,2582
36,54,18,36,2579
36,54,18,36,2582
36,54,18,45,2288
36,54,18,45,2285
36,54,18,45,2287
36,63,18,54,2616
36,63,18,54,2610
36,63,18,54,2613
45,27,9,9,2211
45,27,9,9,2223
45,27,9,9,2222
45,36,18,18,2539
45,36,18,18,2546
45,36,18,18,2547
45,36,18,27,2247
45,36,18,27,2253
45,36,18,27,2254
45,36,27,18,2240
45,36,27,18,2244
45,36,27,18,2247
45,45,27,27,2568
45,45,27,27,2569
45,45,27,27,2570
45,54,27,45,2454
45,54,27,45,2453
45,54,27,45,2453
54,27,9,18,2529
54,27,9,18,2543
54,27,9,18,2544
54,27,18,9,2524
54,27,18,9,2537
54,27,18,9,2538
54,27,18,18,2231
54,27,18,18,2244
54,27,18,18,2245
54,27,27,9,2374
54,27,27,9,2384
54,27,27,9,2388
54,27,36,9,2223
54,27,36,9,2231
54,27,36,9,2236
54,36,27,27,2410
54,36,27,27,2418
54,36,27,27,2418
54,36,36,18,2552
54,36,36,18,2558
54,36,36,18,2561
54,45,36,36,2288
54,45,36,36,2291
54,45,36,36,2290
54,54,36,45,2599
54,54,36,45,2617
54,54,36,45,2617
63,27,27,18,2394
63,27,27,18,2407
63,27,27,18,2409
63,27,45,9,2534
63,27,45,9,2544
63,27,45,9,2552
63,36,36,27,2573
63,36,36,27,2583
63,36,36,27,2590
63,45,45,36,2450
63,45,45,36,2456
63,45,45,36,2454
72,18,9,9,2376
72,18,9,9,2400
72,18,9,9,2398
72,18,18,9,2227
72,18,18,9,2248
72,18,18,9,2249
72,27,36,18,2555
72,27,36,18,2570
72,27,36,18,2572
72,27,45,18,2254
72,27,45,18,2267
72,27,45,18,2271
72,36,54,27,2281
72,36,54,27,2289
72,36,54,27,2291
72,45,54,36,2611
72,45,54,36,2617
72,45,54,36,2617
81,18,18,9,2539
81,18,18,9,2563
81,18,18,9,2564
81,18,27,9,2388
81,18,27,9,2411
81,18,27,9,2413
81,18,36,9,2237
81,18,36,9,2258
81,18,36,9,2261
81,27,54,18,2414
81,27,54,18,2428
81,27,54,18,2433
81,36,63,27,2439
81,36,63,27,2450
81,36,63,27,2452
90,18,36,9,2548
90,18,36,9,2573
90,18,36,9,2576
90,18,45,9,2376
90,18,45,9,2418
90,18,45,9,2423
90,18,54,9,2246
90,18,54,9,2267
90,18,54,9,2274
90,27,63,18,2575
90,27,63,18,2591
90,27,63,18,2597
90,27,72,18,2272
90,27,72,18,2285
90,27,72,18,2293
90,36,72,27,2602
90,36,72,27,2612
90,36,72,27,2617
99,18,54,9,2559
99,18,54,9,2582
99,18,54,9,2589
99,18,63,9,2406
99,18,63,9,2428
99,18,63,9,2436
99,18,72,9,2255
99,18,72,9,2275
99,18,72,9,2284
99,27,81,18,2432
99,27,81,18,2447
99,27,81,18,2456
108,18,72,9,2568
108,18,72,9,2591
108,18,72,9,2600
108,18,81,9,2416
108,18,81,9,2438
108,18,81,9,2448
108,18,90,9,2263
108,18,90,9,2284
108,18,90,9,2295
108,27,90,18,2592
108,27,90,18,2609
108,27,90,18,2619
117,18,90,9,2574
117,18,90,9,2599
117,18,90,9,2610
117,18,99,9,2423
117,18,99,9,2446
117,18,99,9,2459
126,18,108,9,2582
126,18,108,9,2670
126,18,108,9,2621
